disease_id,canonical_name,dataset_id,unique_group_count,image_count,train_group_count,validation_group_count,test_group_count,contributing_dataset_count,eligibility_status,exclusion_reason
D001,melanoma,fitzpatrick17k_c,266,266,,,,3,pending_split_validation,
D001,melanoma,pad_ufes_20,36,52,,,,3,pending_split_validation,
D001,melanoma,scin,1,3,,,,3,pending_split_validation,
D001,melanoma,all_contributors,303,321,,,,3,pending_split_validation,
D002,melanocytic_nevus,fitzpatrick17k_c,0,0,,,,2,pending_split_validation,
D002,melanocytic_nevus,pad_ufes_20,185,244,,,,2,pending_split_validation,
D002,melanocytic_nevus,scin,5,13,,,,2,pending_split_validation,
D002,melanocytic_nevus,all_contributors,190,257,,,,2,pending_split_validation,
D003,psoriasis,fitzpatrick17k_c,534,534,,,,2,pending_split_validation,
D003,psoriasis,pad_ufes_20,0,0,,,,2,pending_split_validation,
D003,psoriasis,scin,109,234,,,,2,pending_split_validation,
D003,psoriasis,all_contributors,643,768,,,,2,pending_split_validation,
D004,basal_cell_carcinoma,fitzpatrick17k_c,412,412,,,,3,pending_split_validation,
D004,basal_cell_carcinoma,pad_ufes_20,513,845,,,,3,pending_split_validation,
D004,basal_cell_carcinoma,scin,6,13,,,,3,pending_split_validation,
D004,basal_cell_carcinoma,all_contributors,931,1270,,,,3,pending_split_validation,
D005,squamous_cell_carcinoma,fitzpatrick17k_c,372,372,,,,3,pending_split_validation,
D005,squamous_cell_carcinoma,pad_ufes_20,133,192,,,,3,pending_split_validation,
D005,squamous_cell_carcinoma,scin,8,16,,,,3,pending_split_validation,
D005,squamous_cell_carcinoma,all_contributors,513,580,,,,3,pending_split_validation,
D006,seborrheic_keratosis,fitzpatrick17k_c,53,53,,,,2,pending_split_validation,
D006,seborrheic_keratosis,pad_ufes_20,176,235,,,,2,pending_split_validation,
D006,seborrheic_keratosis,scin,0,0,,,,2,pending_split_validation,
D006,seborrheic_keratosis,all_contributors,229,288,,,,2,pending_split_validation,
D007,actinic_keratosis,fitzpatrick17k_c,142,142,,,,3,pending_split_validation,
D007,actinic_keratosis,pad_ufes_20,525,730,,,,3,pending_split_validation,
D007,actinic_keratosis,scin,12,21,,,,3,pending_split_validation,
D007,actinic_keratosis,all_contributors,679,893,,,,3,pending_split_validation,
D008,atopic_dermatitis,fitzpatrick17k_c,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D008,atopic_dermatitis,pad_ufes_20,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D008,atopic_dermatitis,scin,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D008,atopic_dermatitis,all_contributors,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D009,contact_dermatitis,fitzpatrick17k_c,314,314,,,,2,pending_split_validation,
D009,contact_dermatitis,pad_ufes_20,0,0,,,,2,pending_split_validation,
D009,contact_dermatitis,scin,309,662,,,,2,pending_split_validation,
D009,contact_dermatitis,all_contributors,623,976,,,,2,pending_split_validation,
D010,tinea_corporis,fitzpatrick17k_c,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D010,tinea_corporis,pad_ufes_20,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D010,tinea_corporis,scin,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D010,tinea_corporis,all_contributors,0,0,,,,0,long_tail,insufficient_unique_groups;insufficient_independent_datasets
D011,acne_vulgaris,fitzpatrick17k_c,420,420,,,,2,pending_split_validation,
D011,acne_vulgaris,pad_ufes_20,0,0,,,,2,pending_split_validation,
D011,acne_vulgaris,scin,61,123,,,,2,pending_split_validation,
D011,acne_vulgaris,all_contributors,481,543,,,,2,pending_split_validation,
D012,rosacea,fitzpatrick17k_c,79,79,,,,2,pending_split_validation,
D012,rosacea,pad_ufes_20,0,0,,,,2,pending_split_validation,
D012,rosacea,scin,29,57,,,,2,pending_split_validation,
D012,rosacea,all_contributors,108,136,,,,2,pending_split_validation,
D013,vitiligo,fitzpatrick17k_c,113,113,,,,2,pending_split_validation,
D013,vitiligo,pad_ufes_20,0,0,,,,2,pending_split_validation,
D013,vitiligo,scin,2,4,,,,2,pending_split_validation,
D013,vitiligo,all_contributors,115,117,,,,2,pending_split_validation,
